Word_low,Frequency,Word_high,Frequency on High-point descriptions,Frequency on Low-point descriptions,high/low,total
will,351,impressive,610,10,61,620
here,283,velvety,498,10,49.8,508
attractive,273,beautifully,476,10,47.6,486
blanc,235,2018,417,10,41.7,427
sweetness,324,beautiful,571,14,40.78571429,585
modest,217,opulent,386,10,38.6,396
opens,214,2020,381,10,38.1,391
quality,198,2018,359,10,35.9,369
do,182,gorgeous,335,10,33.5,345
astringent,174,refined,309,10,30.9,319
way,255,cellar,445,15,29.66666667,460
lively,157,2020,289,10,28.9,299
texture,643,delicious,1024,37,27.67567568,1061
be,497,powerful,850,32,26.5625,882
cranberry,145,2022,264,10,26.4,274
slightly,673,complex,1106,42,26.33333333,1148
wild,141,2019,256,10,25.6,266
its,856,concentrated,1340,55,24.36363636,1395
honey,215,polished,383,16,23.9375,399
what,199,baking,364,16,22.75,380
zin,125,2030,226,10,22.6,236
despite,123,cru,219,10,21.9,229
tangy,236,lovely,418,20,20.9,438
refreshing,115,six,206,10,20.6,216
giving,113,graphite,202,10,20.2,212
oak,1128,years,1781,92,19.35869565,1873
seems,310,develop,542,28,19.35714286,570
easy,401,power,676,35,19.31428571,711
should,108,2025,193,10,19.3,203
hints,278,least,480,25,19.2,505
wet,108,brooding,192,10,19.2,202
mildly,108,site,192,10,19.2,202
aromatic,108,wonderful,192,10,19.2,202
needs,106,2025,188,10,18.8,198
straightforward,106,decade,187,10,18.7,197
otherwise,106,backbone,187,10,18.7,197
rounded,106,planted,186,10,18.6,196
raspberries,105,compelling,186,10,18.6,196
juice,220,potential,390,21,18.57142857,411
less,105,lavender,185,10,18.5,195
acid,105,stunning,185,10,18.5,195
savory,144,focused,258,14,18.42857143,272
yellow,104,star,184,10,18.4,194
gentle,103,mountain,184,10,18.4,194
too,504,elegant,864,47,18.38297872,911
neutral,102,fine-grained,183,10,18.3,193
now,793,vineyard,1220,67,18.20895522,1287
skin,102,luscious,181,10,18.1,191
going,140,tightly,253,14,18.07142857,267
mocha,102,excellent,180,10,18,190
they,100,grand,178,10,17.8,188
intense,100,slowly,175,10,17.5,185
caramel,230,layered,400,23,17.39130435,423
tea,98,succulent,173,10,17.3,183
firm,192,vineyards,355,21,16.9047619,376
carry,96,richly,169,10,16.9,179
rough,188,vines,349,21,16.61904762,370
olive,93,sample,165,10,16.5,175
little,685,long,1109,68,16.30882353,1177
grenache,91,wonderfully,161,10,16.1,171
sirah,91,enticing,161,10,16.1,171
flavor,657,structured,1070,67,15.97014925,1137
front,135,taut,238,15,15.86666667,253
quickly,89,2023,157,10,15.7,167
set,88,superb,157,10,15.7,167
gritty,148,winemaker,265,17,15.58823529,282
back,87,6,153,10,15.3,163
spices,86,underbrush,151,10,15.1,161
open,85,finely,150,10,15,160
fairly,125,thyme,224,15,14.93333333,239
medium-bodied,177,violet,321,22,14.59090909,343
perfumed,113,purity,203,14,14.5,217
cola,236,next,420,29,14.48275862,449
dense,81,seductive,144,10,14.4,154
yet,144,integrated,258,18,14.33333333,276
